date,post_date,description,credit,debit,balance,bank,GL_category,LLM_category,COA_category
,,"WT Fed#00612 Tbk Bank, Ssb /Org=Triumph Srf# Dwr00931627",,4779.50,,Wells Fargo,Gross Trucking Income,unknown,unknown
,,"WT Fed#00557 Tbk Bank, Ssb /Org=Triumph Srf# Dwr00933987",,10052.00,,Wells Fargo,Gross Trucking Income,unknown,unknown
,,Cargosolutio0973 Corp Pay U S Roadways Enterpris,,89200.00,,Wells Fargo,Gross Trucking Income,Transportation Expenses,Subhaulers & Carriers
,,"WT Fed#00120 Tbk Bank, Ssb /Org=Triumph Srf# Dwr00935554",,8342.00,,Wells Fargo,Gross Trucking Income,unknown,unknown
,,DepositMadeInABranch/Store,,16121.00,,Wells Fargo,Gross Trucking Income,unknown,Wells Fargo #7832
,,Cargosolutio0973CorpPayUSRoadwaysEnterpris,,79783.05,,Wells Fargo,Gross Trucking Income,Shipping and Freight,Subhaulers & Carriers
,,"WTFed#00611TbkBank,Ssb/Org=TriumphSrf#Dwr00941331",,8152.00,,Wells Fargo,Gross Trucking Income,unknown,Wells Fargo #7832
,,Cargosolutio0973 Corp Pay U S Roadways Enterpris,,84450.00,,Wells Fargo,Gross Trucking Income,Transportation Expenses,Subhaulers & Carriers
,,"WT Fed#00046 Tbk Bank, Ssb /Org=Triumph Srf# Dwr00942946",,5967.00,,Wells Fargo,Gross Trucking Income,Taxes Paid,unknown
,,"WT Fed#00366 Tbk Bank, Ssb /Org=Triumph Srf# Dwr00947747",,3639.50,,Wells Fargo,Gross Trucking Income,unknown,unknown
,,Cargosolutio0973 Corp Pay U S Roadways Enterpris,,78775.00,,Wells Fargo,Gross Trucking Income,Transportation Expenses,Subhaulers & Carriers
,,"WT Fed#00303 Tbk Bank, Ssb /Org=Triumph Srf# Dwr00952629",,5017.00,,Wells Fargo,Gross Trucking Income,unknown,unknown
,,"WT Fed#08344 Bank of America, N /Org=Jkp Logistics Inc Srf#",,50000.00,,Wells Fargo,Gross Trucking Income,unknown,Loan to JKP Logistics Inc
,,eDeposit IN Branch 01/16/24 04:09:53 PM 1900 W 11th St Tracy CA,,21168.00,,Wells Fargo,Gross Trucking Income,unknown,Wells Fargo #7832
,,Cargosolutio0973 Corp Pay U S Roadways Enterpris,,186820.69,,Wells Fargo,Gross Trucking Income,Transportation Expenses,Subhaulers & Carriers
,,"WT Fed#00178 Tbk Bank, Ssb /Org=Triumph Srf# Dwr00955793",,5748.50,,Wells Fargo,Gross Trucking Income,unknown,Factoring Triumph Receivables
,,"WT Fed#06305 Bank of America, N /Org=US Transline Inc Srf#",,24497.00,,Wells Fargo,Gross Trucking Income,unknown,Ask My Accountant
,,Cargosolutio0973 Corp Pay U S Roadways Enterpris,,93160.41,,Wells Fargo,Gross Trucking Income,Transportation Expenses,Subhaulers & Carriers
,,"WT Fed#00069 Tbk Bank, Ssb /Org=Triumph Srf# Dwr00962228",,12237.00,,Wells Fargo,Gross Trucking Income,unknown,Ask My Accountant
,,Cargosolutio0973 Corp Pay U S Roadways Enterpris,,181760.83,,Wells Fargo,Gross Trucking Income,Transportation Expenses,Subhaulers & Carriers
,,Cargosolutio0973 Corp Pay U S Roadways Enterpris,,110750.00,,Wells Fargo,Gross Trucking Income,Transportation Expenses,Subhaulers & Carriers
,,"WT Fed#00699 Tbk Bank, Ssb /Org=Triumph Srf# Dwr00974711",,5088.25,,Wells Fargo,Gross Trucking Income,unknown,unknown
,,"WT Fed#05181 Bank of America, N /Org=Jkp Logistics Inc Srf#",,40000.00,,Wells Fargo,Gross Trucking Income,Federal Tax Payment,Loan to JKP Logistics Inc
,,Cargosolutio0973 Corp Pay U S Roadways Enterpris,,120810.00,,Wells Fargo,Gross Trucking Income,Transportation Expenses,Subhaulers & Carriers
,,Purchase authorized on 12/31 Tmobile*Prepd Auto 877-778-2106 WA,,80.76,,Wells Fargo,Telephone Expense,unknown,Telephone Expense
,,"Recurring Transfer to U.S. Roadways Enterprises, Inc Business Market Rate",,500.00,,Wells Fargo,Investment Savings,Transportation Expense,Subhaulers & Carriers
,,Recurring Payment authorized on 01/01 ABC*40094-Golds Gy 909-2648855 CA,49.95,,,Wells Fargo,Dues & Subscription,Personal Expense,Dues & Subscription
,,"Recurring Transfer to U.S. Roadways Enterprises, Inc Business Market Rate",,500.00,,Wells Fargo,Investment Savings,Transportation Expense,Subhaulers & Carriers
,,WT Fed#05477 Jpmorgan Chase Ban /Ftr/Bnf=Samsara Srf# Gw00000064216075,,12487.78,,Wells Fargo,unknown,unknown,Factoring Fees
,,WT Fed#05086 Midcountry Bank /Ftr/Bnf=Midcountry BankSrf#,,12000.00,,Wells Fargo,unknown,unknown,Factoring Cash Reserve
,,"FlyersEnergy,LPayment240102207824USRoadwaysEnterprise",1859.47,,,Wells Fargo,Fuel for Hired Vehicles,Car and truck expenses,Fuel for Hired Vehicles
,,RoundpointMtgPayments0101242013043753JobanjeetSingh,3808.18,,,Wells Fargo,unknown,Mortgage Payment,Loan to Jobanjeet Singh
,,< BusinesstoBusinessACHDebit-CargoSolutionsBill.Com016Troafw378Dnm,,9985.40,,Wells Fargo,Subhaulers & Carriers,Cost of Goods Sold,Subhaulers & Carriers
